Status,Pinging to,Time
ok,google.com,19:50:55
ok,google.com,19:51:00
ok,google.com,19:51:05
ok,google.com,19:51:10
ok,google.com,19:51:15
ok,google.com,19:51:20
ok,google.com,19:51:25
ok,google.com,19:51:30
ok,google.com,19:51:35
ok,google.com,19:51:40
ok,google.com,19:51:45
ok,google.com,19:51:50
ok,google.com,19:51:55
ok,google.com,19:52:00
ok,google.com,19:52:05
ok,google.com,19:52:10
ok,google.com,19:52:15
ok,google.com,19:52:20
ok,google.com,19:52:25
ok,google.com,19:52:30
ok,google.com,19:52:35
ok,google.com,19:52:40
ok,google.com,19:52:45
ok,google.com,19:52:50
ok,google.com,19:52:55
ok,google.com,19:53:00
ok,google.com,19:53:05
ok,google.com,19:53:10
ok,google.com,19:53:15
ok,google.com,19:53:20
ok,google.com,19:53:25
ok,google.com,19:53:30
ok,google.com,19:53:35
ok,google.com,19:53:40
ok,google.com,19:53:45
ok,google.com,19:53:50
ok,google.com,19:53:55
ok,google.com,19:54:00
ok,google.com,19:54:05
ok,google.com,19:54:10
ok,google.com,19:54:16
ok,google.com,19:54:21
ok,google.com,19:54:26
ok,google.com,19:54:31
ok,google.com,19:54:36
ok,google.com,19:54:41
ok,google.com,19:54:46
ok,google.com,19:54:51
ok,google.com,19:54:56
ok,google.com,19:55:01
ok,google.com,19:55:06
ok,google.com,19:55:11
ok,google.com,19:55:16
ok,google.com,19:55:21
ok,google.com,19:55:26
ok,google.com,19:55:31
ok,google.com,19:55:36
ok,google.com,19:55:41
ok,google.com,19:55:46
ok,google.com,19:55:51
ok,google.com,19:55:56
ok,google.com,19:56:01
ok,google.com,19:56:06
ok,google.com,19:56:11
ok,google.com,19:56:16
ok,google.com,19:56:21
ok,google.com,19:56:26
ok,google.com,19:56:31
ok,google.com,19:56:36
ok,google.com,19:56:41
ok,google.com,19:56:46
ok,google.com,19:56:51
ok,google.com,19:56:56
ok,google.com,19:57:01
ok,google.com,19:57:06
ok,google.com,19:57:11
ok,google.com,19:57:16
ok,google.com,19:57:21
ok,google.com,19:57:26
ok,google.com,19:57:31
ok,google.com,19:57:36
ok,google.com,19:57:41
ok,google.com,19:57:46
ok,google.com,19:57:51
ok,google.com,19:57:56
ok,google.com,19:58:01
ok,google.com,19:58:06
ok,google.com,19:58:11
ok,google.com,19:58:16
ok,google.com,19:58:21
ok,google.com,19:58:26
ok,google.com,19:58:31
ok,google.com,19:58:36
ok,google.com,19:58:41
ok,google.com,19:58:46
ok,google.com,19:58:51
ok,google.com,19:58:56
ok,google.com,19:59:01
ok,google.com,19:59:06
ok,google.com,19:59:11
ok,google.com,19:59:16
ok,google.com,19:59:21
ok,google.com,19:59:26
ok,google.com,19:59:31
ok,google.com,19:59:36
ok,google.com,19:59:41
ok,google.com,19:59:46
ok,google.com,19:59:51
ok,google.com,19:59:56
ok,google.com,20:00:01
ok,google.com,20:00:06
ok,google.com,20:00:11
ok,google.com,20:00:16
ok,google.com,20:00:21
ok,google.com,20:00:26
ok,google.com,20:00:31
ok,google.com,20:00:37
ok,google.com,20:00:42
ok,google.com,20:00:47
ok,google.com,20:00:52
ok,google.com,20:00:57
ok,google.com,20:01:02
ok,google.com,20:01:07
ok,google.com,20:01:12
ok,google.com,20:01:17
ok,google.com,20:01:22
ok,google.com,20:01:27
ok,google.com,20:01:32
ok,google.com,20:01:37
ok,google.com,20:01:42
ok,google.com,20:01:47
ok,google.com,20:01:52
ok,google.com,20:01:57
ok,google.com,20:02:02
ok,google.com,20:02:07
ok,google.com,20:02:12
ok,google.com,20:02:17
ok,google.com,20:02:22
ok,google.com,20:02:27
ok,google.com,20:02:32
ok,google.com,20:02:37
ok,google.com,20:02:42
ok,google.com,20:02:47
ok,google.com,20:02:52
ok,google.com,20:02:57
ok,google.com,20:03:02
ok,google.com,20:03:07
ok,google.com,20:03:12
ok,google.com,20:03:17
ok,google.com,20:03:22
ok,google.com,20:03:27
ok,google.com,20:03:32
ok,google.com,20:03:37
ok,google.com,20:03:42
ok,google.com,20:03:47
ok,google.com,20:03:52
ok,google.com,20:03:57
ok,google.com,20:04:02
ok,google.com,20:04:07
ok,google.com,20:04:12
ok,google.com,20:04:17
ok,google.com,20:04:22
ok,google.com,20:04:27
ok,google.com,20:04:32
ok,google.com,20:04:37
ok,google.com,20:04:42
ok,google.com,20:04:47
ok,google.com,20:04:52
ok,google.com,20:04:57
ok,google.com,20:05:02
ok,google.com,20:05:07
ok,google.com,20:05:12
ok,google.com,20:05:17
ok,google.com,20:05:22
ok,google.com,20:05:27
ok,google.com,20:05:32
ok,google.com,20:05:37
ok,google.com,20:05:42
ok,google.com,20:05:47
ok,google.com,20:05:52
ok,google.com,20:05:57
ok,google.com,20:06:02
ok,google.com,20:06:08
ok,google.com,20:06:13
ok,google.com,20:06:18
ok,google.com,20:06:23
ok,google.com,20:06:28
ok,google.com,20:06:33
ok,google.com,20:06:38
ok,google.com,20:06:43
ok,google.com,20:06:48
ok,google.com,20:06:53
